LogisticRegression();0.8438844499078058;0.7215094339622642;0.5963817841547099;0.6530054644808743
KNeighborsClassifier();0.842040565457898;0.6981392143349414;0.6319401122894572;0.6633922724296005
DecisionTreeClassifier();0.8157652120467117;0.6276864728192162;0.619463505926388;0.6235478806907379
RandomForestClassifier();0.8469575906576521;0.7169406719085061;0.6257018091079226;0.6682211858760827
BaggingClassifier();0.8408113091579594;0.7076923076923077;0.6026200873362445;0.6509433962264151
AdaBoostClassifier();0.8637062077443147;0.7832278481012658;0.6175920149719276;0.6906173700732473
GradientBoostingClassifier();0.8660110633066994;0.7973962571196095;0.611353711790393;0.692090395480226
SVC();0.8048555623847572;0.8505263157894737;0.2520274485339988;0.3888354186717998
VotingClassifier(estimators=[('RFC', RandomForestClassifier())]);0.8437307928703135;0.7083926031294452;0.6213349968808484;0.662013958125623
LinearDiscriminantAnalysis();0.848340503995083;0.74251968503937;0.5882719900187149;0.6564566655064392
